"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Clíodhna","Straw broke, bottle leaked and I got sick from tap water no one else drank","Verified Purchase","Reviewed in the United Kingdom on 21 September 2023","4.6 out of 5 stars"
"2","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Craft Or Burn","I purchased both as used like new. The first one was clearly used multiple times. It had 2 dents, scratches, and once opened it had some water, wet filter, and a hair on the filter. The second one came in the original box and looked like it was just in storage or the warehouse for a long time. It had a different mouthpiece and filter. Below is what LifeStraw stated about the difference.Both filter are okay to continue use. The reason as to why they are slightly different is because the filter went through a redesign not long ago. The lettering or slight changes may be due to change in machinery at the factory or slight changes as we continue to try and make the product better.The change in mouthpiece may have to do with availability of the part. Our manager's bottle, same as yours has a clear mouthpiece and it came out of a box three weeks ago. I hope this helps clear any doubts you may have had.Overall I now feel the second was a good choice.","Verified Purchase","Reviewed in the United States on 4 March 2023","1.0 out of 5 stars"
"3","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Craft Or Burn","Conforme au produit acheté - non utilisé encore donc pas d'avis sur son fonctionnement","Verified Purchase","Reviewed in France on 5 December 2023","5.0 out of 5 stars"
"4","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Client d'Amazon","I mostly got this bottle so I would stop buying water when I’d travel since the tap water usually tasted a little suspect. While it can dribble when opened occasionally and it’s a bit tough to suck the water out, it does the job well when it comes to making the water taste fine.","Verified Purchase","Reviewed in the United States on 15 March 2023","5.0 out of 5 stars"
"5","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Amer","Gourde filtrante très sympa, très bonne facture et belle contenance. Le côté double paroies qui la rend isotherme est un chouette plus.Un peu encombrante si vous partez avec un emport réduit mais c'est sa contenance qui veux ça.Je recommande !","Verified Purchase","Reviewed in France on 11 December 2021","5.0 out of 5 stars"
"6","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","C3pO","Seriously amazing! Water always tastes amazing coming from here and it stays soooo cold. We took it to Africa and we’re always confident we’d be able to have clean water. The only thing is that it leaks if it’s on its side.  And also I will say I definitely drink less water because of the “work” of having to pull it through the straw- instead of just straight out of a cup","Verified Purchase","Reviewed in the United States on 12 July 2021","5.0 out of 5 stars"
"7","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Melissa Weyers","Expensive and too much effort for few drops of water","Verified Purchase","Reviewed in the United Kingdom on 23 December 2021","5.0 out of 5 stars"
"8","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Abdel","This works great and my daughter loves it. Easy to clean and very solid. Holds warm or cold beverages very well and for long time period due to solid insulation in the walls.","Verified Purchase","Reviewed in the United States on 19 August 2023","5.0 out of 5 stars"
"9","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Jeff","I use this for work—the water purifier there always tastes weird. This makes the water so fresh tasting! I love it so much I’ve already customized it, lol. Good size, too. Just keep in mind that the straw is a filter, so your mouth will get a bit of a workout. 10/10","Verified Purchase","Reviewed in the United States on 4 December 2022","2.0 out of 5 stars"
"10","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Nan",NA,NA,NA,"5.0 out of 5 stars"
"11","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Avery R.","People saying it's too heavy are probably those hiking. I float in canoe/kayak. It's worth the ""weight"" because you can stand on em, drop em whatever they won't break like a plastic water bottle. Drinking draw is fine. Filters are great. I know it's double wall but in an emergency you can boil water in this.","Verified Purchase","Reviewed in the United States on 30 August 2022","4.6 out of 5 stars"
"12","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Thomas","Fonctionne parfaitement. Le marquage de la gourde n'est pas très résistant, mais cela lui donne du charme !La gourde semble bien résister aux chutes, elle se cabosse mais l'isolation par le vide ne semble pas s'être perdue dans la bataille.","Verified Purchase","Reviewed in France on 20 August 2021","1.0 out of 5 stars"
"13","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Linh Vo","It’s leaking!","Verified Purchase","Reviewed in Canada on 20 October 2022","5.0 out of 5 stars"
"14","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Geoff B.","These are a good size and allowed us to use ice and water for drinking in a foreign country with confidence. It does take more effort to suck water through the filter.","Verified Purchase","Reviewed in the United States on 13 October 2022","5.0 out of 5 stars"
"15","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","S","Excellent pour les voyages, l eau n a pas de goût, bonne contenance. Aspiration comme une paille pour boire. Il manque un verseur pour double utilisation si besoin.","Verified Purchase","Reviewed in France on 29 July 2021","5.0 out of 5 stars"
"16","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Alyssabeth","I traveled to Bali with this water bottle and it served me well, for the most part. I dropped it on some boulders and it survived with just a dent. It helped to filter the water i drank out there and tasted very clean. But I made the mistake of leaving this in my backpack with my laptop and it leaked. It leaks if it's not upright so you have to be careful. That's my biggest complaint.","Verified Purchase","Reviewed in the United States on 22 March 2023","5.0 out of 5 stars"
"17","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Mike Smith","I bought this for a trip to a part of the world with inconsistent water standards.  Out of the 7 people on the trip, I was the only one who didn't get sick at some point. Well worth the money I spent, and this bottle will travel with me again.","Verified Purchase","Reviewed in the United States on 13 March 2023","5.0 out of 5 stars"
"18","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Client d'Amazon","Rien à dire , c’est le top","Verified Purchase","Reviewed in France on 9 October 2021","5.0 out of 5 stars"
"19","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","James S. Mcdonald","I purchased this water bottle specifically for hiking in Costa Rica where I knew I'd sweat like a pig and would burn through my fluids but didn't want to have to carry liters whenever I went out hiking.  It let me not worry about getting water from hoses and fill valves if I ran out.  With this, I was able to stay hydrated without much concern of the source water quality.","Verified Purchase","Reviewed in the United States on 3 January 2023","2.0 out of 5 stars"
"20","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Jesus loves you","I travel outside the country and this bottle was a plus for drink clean water. Good quality and good filter.","Verified Purchase","Reviewed in the United States on 31 October 2022","5.0 out of 5 stars"
"21","Water Bottle","LifeStraw Go Stainless Steel Water Filter Bottle with 2-Stage Integrated Filter Straw, Double Wall Vacuum Insulated, for Hiking, Backpacking, and Travel, 24oz, White","Heather S. Cindrich","Great product. Took it to Egypt and it was perfect for keeping us safe from bad tap water","Verified Purchase","Reviewed in the United States on 26 April 2023","4.6 out of 5 stars"
